rank,rank_stylectrl,model,arena_score,95_pct_ci,votes,organization,license,knowledge_cutoff,url
1,2,Imagen-4.0-ultra-generate-preview-06-06,1132,+1/-1,251222,Google,Proprietary,not specified,https://cloud.google.com/vertex-ai/generative-ai/docs/models/imagen/4-0-ultra-generate-preview-06-06
2,3,GPT-Image-1,1124,+3/-3,151657,OpenAI,Proprietary,not specified,https://platform.openai.com/docs/models/gpt-image-1
3,7,Seedream 3.0,1076,+2/-2,199830,Bytedance,Proprietary,not specified,https://seed.bytedance.com/en/tech/seedream3_0
4,8,FLUX-1-Kontext-Max,1073,+2/-2,78058,Black Forest Labs,Proprietary,not specified,https://bfl.ai/announcements/flux-1-kontext
5,10,Imagen-3.0-generate-002,1061,+2/-2,292356,Google,Proprietary,not specified,https://deepmind.google/technologies/imagen-3/
6,11,FLUX-1-Kontext-Pro,1050,+2/-2,208059,Black Forest Labs,Proprietary,not specified,https://bfl.ai/announcements/flux-1-kontext
7,13,Luma Photon,1034,+2/-2,221259,Luma AI,Proprietary,not specified,https://replicate.com/luma/photon
8,13,Ideogram 3.0 (quality),1030,+2/-2,202901,Ideogram,Proprietary,not specified,https://about.ideogram.ai/3.0
9,16,Recraft V3,1020,+2/-2,293230,Recraft,Proprietary,not specified,https://www.recraft.ai/blog/recraft-introduces-a-revolutionary-ai-model-that-thinks-in-design-language
10,18,Ideogram 2.0,1010,+2/-2,279929,Ideogram,Proprietary,not specified,https://replicate.com/ideogram-ai/ideogram-v2
11,18,FLUX1.1 [pro],1006,+2/-2,264501,Black Forest Labs,Proprietary,not specified,https://replicate.com/black-forest-labs/flux-1.1-pro
12,20,Gemini-2.0-Flash-Preview-Image-Generation,986,+3/-3,179306,Google,Proprietary,not specified,https://aistudio.google.com/app/prompts/new_chat?model=gemini-2.0-flash-preview-image-generation
13,21,DALLÂ·E 3,978,+2/-2,255677,OpenAI,Proprietary,not specified,https://platform.openai.com/docs/models#dall-e
14,22,FLUX.1 [dev] (fp8),968,+3/-3,50585,Black Forest Labs,Open,not specified,https://fireworks.ai/models/fireworks/flux-1-dev-fp8
15,22,FLUX-1-Kontext-Dev,965,+3/-3,155613,Black Forest Labs,Proprietary,not specified,https://bfl.ai/announcements/flux-1-kontext-dev
16,24,Stable Diffusion 3.5 Large,937,+3/-3,24050,Stability AI,Open,not specified,https://fal.ai/models/fal-ai/stable-diffusion-v35-large
17,25,BAGEL,914,+5/-5,12351,Bytedance,Apache 2.0,not specified,https://huggingface.co/ByteDance-Seed/BAGEL-7B-MoT
