rank,model,openrouter_id,arena_score,95_pct_ci,votes,organization,license,knowledge_cutoff,url,displayed_name,pricing_source,id,description,pricing.prompt,pricing.completion,pricing.image,pricing
1,Gemini-2.5-Pro,google/gemini-2.5-pro,1320,+8/-8,14996,Google,Proprietary,not specified,http://aistudio.google.com/app/prompts/new_chat?model=gemini-2.5-pro,google/gemini-2.5-pro,openrouter,google/gemini-2.5-pro,"Gemini 2.5 Pro is Google’s state-of-the-art AI model designed for advanced reasoning, coding, mathematics, and scientific tasks. It employs “thinking” capabilities, enabling it to reason through responses with enhanced accuracy and nuanced context handling. Gemini 2.5 Pro achieves top-tier performance on multiple benchmarks, including first-place positioning on the LMArena leaderboard, reflecting superior human-preference alignment and complex problem-solving abilities.",1.25e-06,1e-05,0.00516,0.00517125
2,ChatGPT-4o-latest (2025-03-26),openai/chatgpt-4o-latest,1292,+7/-7,12154,OpenAI,Proprietary,not specified,https://x.com/OpenAI/status/1905331956856050135,openai/chatgpt-4o-latest,openrouter,openai/chatgpt-4o-latest,"OpenAI ChatGPT 4o is continually updated by OpenAI to point to the current version of GPT-4o used by ChatGPT. It therefore differs slightly from the API version of [GPT-4o](/models/openai/gpt-4o) in that it has additional RLHF. It is intended for research and evaluation.

OpenAI notes that this model is not suited for production use-cases as it may be removed or redirected to another model in the future.",5e-06,1.5e-05,0.007225,0.007245
3,Gemini-2.5-Flash,google/gemini-2.5-flash,1282,+8/-8,11584,Google,Proprietary,not specified,http://aistudio.google.com/app/prompts/new_chat?model=gemini-2.5-flash,google/gemini-2.5-flash,openrouter,google/gemini-2.5-flash,"Gemini 2.5 Flash is Google's state-of-the-art workhorse model, specifically designed for advanced reasoning, coding, mathematics, and scientific tasks. It includes built-in ""thinking"" capabilities, enabling it to provide responses with greater accuracy and nuanced context handling. 

Additionally, Gemini 2.5 Flash is configurable through the ""max tokens for reasoning"" parameter, as described in the documentation (https://openrouter.ai/docs/use-cases/reasoning-tokens#max-tokens-for-reasoning).",3e-07,2.5e-06,0.001238,0.0012408
4,Grok-4-0709,x-ai/grok-4,1269,+10/-10,6748,xAI,Proprietary,not specified,https://docs.x.ai/docs/models/grok-4-0709,x-ai/grok-4,openrouter,x-ai/grok-4,"Grok 4 is xAI's latest reasoning model with a 256k context window. It supports parallel tool calling, structured outputs, and both image and text inputs. Note that reasoning is not exposed, reasoning cannot be disabled, and the reasoning effort cannot be specified. Pricing increases once the total tokens in a given request is greater than 128k tokens. See more details on the [xAI docs](https://docs.x.ai/docs/models/grok-4-0709)",3e-06,1.5e-05,0.0,1.8e-05
5,o3-2025-04-16,openai/o3,1268,+8/-8,14983,OpenAI,Proprietary,not specified,https://openai.com/index/introducing-o3-and-o4-mini/,openai/o3,openrouter,openai/o3,"o3 is a well-rounded and powerful model across domains. It sets a new standard for math, science, coding, and visual reasoning tasks. It also excels at technical writing and instruction-following. Use it to think through multi-step problems that involve analysis across text, code, and images. ",2e-06,8e-06,0.00153,0.00154
6,GPT-4.1-2025-04-14,openai/gpt-4.1,1258,+8/-8,10640,OpenAI,Proprietary,not specified,https://openai.com/index/gpt-4-1/,openai/gpt-4.1,openrouter,openai/gpt-4.1,"GPT-4.1 is a flagship large language model optimized for advanced instruction following, real-world software engineering, and long-context reasoning. It supports a 1 million token context window and outperforms GPT-4o and GPT-4.5 across coding (54.6% SWE-bench Verified), instruction compliance (87.4% IFEval), and multimodal understanding benchmarks. It is tuned for precise code diffs, agent reliability, and high recall in large document contexts, making it ideal for agents, IDE tooling, and enterprise knowledge retrieval.",2e-06,8e-06,0.0,9.999999999999999e-06
7,o4-mini-2025-04-16,openai/o4-mini,1241,+9/-9,10051,OpenAI,Proprietary,not specified,https://openai.com/index/introducing-o3-and-o4-mini/,openai/o4-mini,openrouter,openai/o4-mini,"OpenAI o4-mini is a compact reasoning model in the o-series, optimized for fast, cost-efficient performance while retaining strong multimodal and agentic capabilities. It supports tool use and demonstrates competitive reasoning and coding performance across benchmarks like AIME (99.5% with Python) and SWE-bench, outperforming its predecessor o3-mini and even approaching o3 in some domains.

Despite its smaller size, o4-mini exhibits high accuracy in STEM tasks, visual problem solving (e.g., MathVista, MMMU), and code editing. It is especially well-suited for high-throughput scenarios where latency or cost is critical. Thanks to its efficient architecture and refined reinforcement learning training, o4-mini can chain tools, generate structured outputs, and solve multi-step tasks with minimal delay—often in under a minute.",1.1e-06,4.4e-06,0.0008415,0.000847
8,Claude Sonnet 4 (thinking-32k),anthropic/claude-sonnet-4,1238,+15/-15,1308,Anthropic,Proprietary,not specified,https://www.anthropic.com/news/claude-4,anthropic/claude-sonnet-4,openrouter,anthropic/claude-sonnet-4,"Claude Sonnet 4 significantly enhances the capabilities of its predecessor, Sonnet 3.7, excelling in both coding and reasoning tasks with improved precision and controllability. Achieving state-of-the-art performance on SWE-bench (72.7%), Sonnet 4 balances capability and computational efficiency, making it suitable for a broad range of applications from routine coding tasks to complex software development projects. Key enhancements include improved autonomous codebase navigation, reduced error rates in agent-driven workflows, and increased reliability in following intricate instructions. Sonnet 4 is optimized for practical everyday use, providing advanced reasoning capabilities while maintaining efficiency and responsiveness in diverse internal and external scenarios.

Read more at the [blog post here](https://www.anthropic.com/news/claude-4)",3e-06,1.5e-05,0.0048,0.004817999999999999
9,Claude Opus 4 (thinking-16k),anthropic/claude-opus-4,1237,+15/-15,1421,Anthropic,Proprietary,not specified,https://www.anthropic.com/news/claude-4,anthropic/claude-opus-4,openrouter,anthropic/claude-opus-4,"Claude Opus 4 is benchmarked as the world’s best coding model, at time of release, bringing sustained performance on complex, long-running tasks and agent workflows. It sets new benchmarks in software engineering, achieving leading results on SWE-bench (72.5%) and Terminal-bench (43.2%). Opus 4 supports extended, agentic workflows, handling thousands of task steps continuously for hours without degradation. 

Read more at the [blog post here](https://www.anthropic.com/news/claude-4)",1.5e-05,7.5e-05,0.024,0.02409
10,GPT-4.1-mini-2025-04-14,openai/gpt-4.1-mini,1227,+8/-8,10649,OpenAI,Proprietary,not specified,https://openai.com/index/gpt-4-1/,openai/gpt-4.1-mini,openrouter,openai/gpt-4.1-mini,"GPT-4.1 Mini is a mid-sized model delivering performance competitive with GPT-4o at substantially lower latency and cost. It retains a 1 million token context window and scores 45.1% on hard instruction evals, 35.8% on MultiChallenge, and 84.1% on IFEval. Mini also shows strong coding ability (e.g., 31.6% on Aider’s polyglot diff benchmark) and vision understanding, making it suitable for interactive applications with tight performance constraints.",4e-07,1.6e-06,0.0,2e-06
11,Claude Opus 4 (20250514),anthropic/claude-opus-4.1,1222,+12/-12,2541,Anthropic,Proprietary,not specified,https://www.anthropic.com/news/claude-4,anthropic/claude-opus-4.1,openrouter,anthropic/claude-opus-4.1,"Claude Opus 4.1 is an updated version of Anthropic’s flagship model, offering improved performance in coding, reasoning, and agentic tasks. It achieves 74.5% on SWE-bench Verified and shows notable gains in multi-file code refactoring, debugging precision, and detail-oriented reasoning. The model supports extended thinking up to 64K tokens and is optimized for tasks involving research, data analysis, and tool-assisted reasoning.",1.5e-05,7.5e-05,0.024,0.02409
12,Claude Sonnet 4 (20250514),anthropic/claude-sonnet-4,1219,+13/-13,2043,Anthropic,Proprietary,not specified,https://www.anthropic.com/news/claude-4,anthropic/claude-sonnet-4,openrouter,anthropic/claude-sonnet-4,"Claude Sonnet 4 significantly enhances the capabilities of its predecessor, Sonnet 3.7, excelling in both coding and reasoning tasks with improved precision and controllability. Achieving state-of-the-art performance on SWE-bench (72.7%), Sonnet 4 balances capability and computational efficiency, making it suitable for a broad range of applications from routine coding tasks to complex software development projects. Key enhancements include improved autonomous codebase navigation, reduced error rates in agent-driven workflows, and increased reliability in following intricate instructions. Sonnet 4 is optimized for practical everyday use, providing advanced reasoning capabilities while maintaining efficiency and responsiveness in diverse internal and external scenarios.

Read more at the [blog post here](https://www.anthropic.com/news/claude-4)",3e-06,1.5e-05,0.0048,0.004817999999999999
13,Claude 3.7 Sonnet (thinking-32k),anthropic/claude-3.7-sonnet:thinking,1217,+14/-14,1631,Anthropic,Proprietary,not specified,https://www.anthropic.com/news/claude-3-7-sonnet,anthropic/claude-3.7-sonnet:thinking,openrouter,anthropic/claude-3.7-sonnet:thinking,"Claude 3.7 Sonnet is an advanced large language model with improved reasoning, coding, and problem-solving capabilities. It introduces a hybrid reasoning approach, allowing users to choose between rapid responses and extended, step-by-step processing for complex tasks. The model demonstrates notable improvements in coding, particularly in front-end development and full-stack updates, and excels in agentic workflows, where it can autonomously navigate multi-step processes. 

Claude 3.7 Sonnet maintains performance parity with its predecessor in standard mode while offering an extended reasoning mode for enhanced accuracy in math, coding, and instruction-following tasks.

Read more at the [blog post here](https://www.anthropic.com/news/claude-3-7-sonnet)",3e-06,1.5e-05,0.0048,0.004817999999999999
14,o1-2024-12-17,openai/o1,1215,+10/-10,3729,OpenAI,Proprietary,not specified,https://openai.com/index/o1-and-new-tools-for-developers/,openai/o1,openrouter,openai/o1,"The latest and strongest model family from OpenAI, o1 is designed to spend more time thinking before responding. The o1 model series is trained with large-scale reinforcement learning to reason using chain of thought. 

The o1 models are optimized for math, science, programming, and other STEM-related tasks. They consistently exhibit PhD-level accuracy on benchmarks in physics, chemistry, and biology. Learn more in the [launch announcement](https://openai.com/o1).
",1.5e-05,6e-05,0.021675,0.02175
15,Gemma-3-27B-it,,1211,+10/-10,7378,Google,Gemma,not specified,http://aistudio.google.com/app/prompts/new_chat?model=gemma-3-27b-it,Gemma-3-27B-it,free,,,,,,
16,Gemini-2.0-Flash-001,google/gemini-2.0-flash-001,1203,+7/-7,7785,Google,Proprietary,not specified,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys-1121&model=gemini-2.0-flash-001,google/gemini-2.0-flash-001,openrouter,google/gemini-2.0-flash-001,"Gemini Flash 2.0 offers a significantly faster time to first token (TTFT) compared to [Gemini Flash 1.5](/google/gemini-flash-1.5), while maintaining quality on par with larger models like [Gemini Pro 1.5](/google/gemini-pro-1.5). It introduces notable enhancements in multimodal understanding, coding capabilities, complex instruction following, and function calling. These advancements come together to deliver more seamless and robust agentic experiences.",1e-07,4e-07,2.58e-05,2.63e-05
17,Mistral Medium 3,mistralai/mistral-medium-3,1199,+9/-9,9463,Mistral,Proprietary,not specified,https://mistral.ai/news/mistral-medium-3,mistralai/mistral-medium-3,openrouter,mistralai/mistral-medium-3,"Mistral Medium 3 is a high-performance enterprise-grade language model designed to deliver frontier-level capabilities at significantly reduced operational cost. It balances state-of-the-art reasoning and multimodal performance with 8× lower cost compared to traditional large models, making it suitable for scalable deployments across professional and industrial use cases.

The model excels in domains such as coding, STEM reasoning, and enterprise adaptation. It supports hybrid, on-prem, and in-VPC deployments and is optimized for integration into custom workflows. Mistral Medium 3 offers competitive accuracy relative to larger models like Claude Sonnet 3.5/3.7, Llama 4 Maverick, and Command R+, while maintaining broad compatibility across cloud environments.",4e-07,2e-06,0.0,2.4e-06
18,Qwen2.5-VL-32B-Instruct,,1198,+15/-15,1505,Alibaba,Apache 2.0,not specified,https://huggingface.co/Qwen/Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,free,,,,,,
19,Claude 3.7 Sonnet,anthropic/claude-3.7-sonnet,1197,+9/-9,4693,Anthropic,Proprietary,not specified,https://www.anthropic.com/news/claude-3-7-sonnet,anthropic/claude-3.7-sonnet,openrouter,anthropic/claude-3.7-sonnet,"Claude 3.7 Sonnet is an advanced large language model with improved reasoning, coding, and problem-solving capabilities. It introduces a hybrid reasoning approach, allowing users to choose between rapid responses and extended, step-by-step processing for complex tasks. The model demonstrates notable improvements in coding, particularly in front-end development and full-stack updates, and excels in agentic workflows, where it can autonomously navigate multi-step processes. 

Claude 3.7 Sonnet maintains performance parity with its predecessor in standard mode while offering an extended reasoning mode for enhanced accuracy in math, coding, and instruction-following tasks.

Read more at the [blog post here](https://www.anthropic.com/news/claude-3-7-sonnet)",3e-06,1.5e-05,0.0048,0.004817999999999999
20,GPT-4o-2024-05-13,openai/gpt-4o-2024-05-13,1183,+7/-7,23806,OpenAI,Proprietary,2023/10,https://openai.com/index/hello-gpt-4o/,openai/gpt-4o-2024-05-13,openrouter,openai/gpt-4o-2024-05-13,"GPT-4o (""o"" for ""omni"") is OpenAI's latest AI model, supporting both text and image inputs with text outputs. It maintains the intelligence level of [GPT-4 Turbo](/models/openai/gpt-4-turbo) while being twice as fast and 50% more cost-effective. GPT-4o also offers improved performance in processing non-English languages and enhanced visual capabilities.

For benchmarking against other models, it was briefly called [""im-also-a-good-gpt2-chatbot""](https://twitter.com/LiamFedus/status/1790064963966370209)

#multimodal",5e-06,1.5e-05,0.007225,0.007245
21,Mistral-Small-2506,,1182,+10/-10,6882,Mistral,Apache 2.0,not specified,https://huggingface.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506,Mistral-Small-2506,free,,,,,,
22,Llama-4-Maverick-17B-128E-Instruct,,1179,+10/-10,5260,Meta,Llama 4,not specified,https://huggingface.co/meta-llama/Llama-4-Maverick-17B-128E-Instruct,Llama-4-Maverick-17B-128E-Instruct,free,,,,,,
23,Claude 3.5 Sonnet (20241022),anthropic/claude-3.5-sonnet,1172,+6/-6,10668,Anthropic,Proprietary,2024/4,https://www.anthropic.com/news/3-5-models-and-computer-use,anthropic/claude-3.5-sonnet,openrouter,anthropic/claude-3.5-sonnet,"New Claude 3.5 Sonnet delivers better-than-Opus capabilities, faster-than-Sonnet speeds, at the same Sonnet prices. Sonnet is particularly good at:

- Coding: Scores ~49% on SWE-Bench Verified, higher than the last best score, and without any fancy prompt scaffolding
- Data science: Augments human data science expertise; navigates unstructured data while using multiple tools for insights
- Visual processing: excelling at interpreting charts, graphs, and images, accurately transcribing text to derive insights beyond just the text alone
- Agentic tasks: exceptional tool use, making it great at agentic tasks (i.e. complex, multi-step problem solving tasks that require engaging with other systems)

#multimodal",3e-06,1.5e-05,0.0048,0.004817999999999999
24,Claude 3.5 Sonnet (20240620),anthropic/claude-3.5-sonnet-20240620,1166,+8/-8,22246,Anthropic,Proprietary,2024/4,https://www.anthropic.com/news/claude-3-5-sonnet,anthropic/claude-3.5-sonnet-20240620,openrouter,anthropic/claude-3.5-sonnet-20240620,"Claude 3.5 Sonnet delivers better-than-Opus capabilities, faster-than-Sonnet speeds, at the same Sonnet prices. Sonnet is particularly good at:

- Coding: Autonomously writes, edits, and runs code with reasoning and troubleshooting
- Data science: Augments human data science expertise; navigates unstructured data while using multiple tools for insights
- Visual processing: excelling at interpreting charts, graphs, and images, accurately transcribing text to derive insights beyond just the text alone
- Agentic tasks: exceptional tool use, making it great at agentic tasks (i.e. complex, multi-step problem solving tasks that require engaging with other systems)

For the latest version (2024-10-23), check out [Claude 3.5 Sonnet](/anthropic/claude-3.5-sonnet).

#multimodal",3e-06,1.5e-05,0.0048,0.004817999999999999
25,Llama-4-Scout-17B-16E-Instruct,,1166,+11/-11,4653,Meta,Llama,not specified,https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E-Instruct,Llama-4-Scout-17B-16E-Instruct,free,,,,,,
26,Mistral-Small-3.1-24B-Instruct-2503,,1163,+9/-9,8210,Mistral,Apache 2.0,not specified,https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503,Mistral-Small-3.1-24B-Instruct-2503,free,,,,,,
27,Qwen2.5-VL-72B-Instruct,,1154,+10/-10,3830,Alibaba,Qwen,not specified,https://huggingface.co/Qwen/Qwen2.5-VL-72B-Instruct,Qwen2.5-VL-72B-Instruct,free,,,,,,
28,Claude 3.5 Haiku (20241022),anthropic/claude-3.5-haiku-20241022,1147,+15/-15,1585,Anthropic,Proprietary,not specified,https://www.anthropic.com/news/3-5-models-and-computer-use,anthropic/claude-3.5-haiku-20241022,openrouter,anthropic/claude-3.5-haiku-20241022,"Claude 3.5 Haiku features enhancements across all skill sets including coding, tool use, and reasoning. As the fastest model in the Anthropic lineup, it offers rapid response times suitable for applications that require high interactivity and low latency, such as user-facing chatbots and on-the-fly code completions. It also excels in specialized tasks like data extraction and real-time content moderation, making it a versatile tool for a broad range of industries.

It does not support image inputs.

See the launch announcement and benchmark results [here](https://www.anthropic.com/news/3-5-models-and-computer-use)",8e-07,4e-06,0.0,4.8e-06
29,Gemini-2.0-Flash-Lite,google/gemini-2.0-flash-lite-001,1147,+9/-9,4045,Google,Proprietary,not specified,https://aistudio.google.com/prompts/new_chat?model=gemini-2.0-flash-lite,google/gemini-2.0-flash-lite-001,openrouter,google/gemini-2.0-flash-lite-001,"Gemini 2.0 Flash Lite offers a significantly faster time to first token (TTFT) compared to [Gemini Flash 1.5](/google/gemini-flash-1.5), while maintaining quality on par with larger models like [Gemini Pro 1.5](/google/gemini-pro-1.5), all at extremely economical token prices.",7.5e-08,3e-07,0.0,3.75e-07
30,Pixtral-Large-2411,,1137,+8/-8,5489,Mistral,MRL,not specified,https://huggingface.co/mistralai/Pixtral-Large-Instruct-2411,Pixtral-Large-2411,free,,,,,,
31,GPT-4-Turbo-2024-04-09,openai/gpt-4-turbo,1136,+10/-10,13725,OpenAI,Proprietary,2023/12,https://platform.openai.com/docs/models/gpt-4-turbo-and-gpt-4,openai/gpt-4-turbo,openrouter,openai/gpt-4-turbo,"The latest GPT-4 Turbo model with vision capabilities. Vision requests can now use JSON mode and function calling.

Training data: up to December 2023.",1e-05,3e-05,0.01445,0.01449
32,GPT-4o-mini-2024-07-18,openai/gpt-4o-mini-2024-07-18,1113,+7/-7,17775,OpenAI,Proprietary,2023/10,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,openai/gpt-4o-mini-2024-07-18,openrouter,openai/gpt-4o-mini-2024-07-18,"GPT-4o mini is OpenAI's newest model after [GPT-4 Omni](/models/openai/gpt-4o), supporting both text and image inputs with text outputs.

As their most advanced small model, it is many multiples more affordable than other recent frontier models, and more than 60% cheaper than [GPT-3.5 Turbo](/models/openai/gpt-3.5-turbo). It maintains SOTA intelligence, while being significantly more cost-effective.

GPT-4o mini achieves an 82% score on MMLU and presently ranks higher than GPT-4 on chat preferences [common leaderboards](https://arena.lmsys.org/).

Check out the [launch announcement](https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/) to learn more.

#multimodal",1.5e-07,6e-07,0.007225,0.0072257499999999995
33,GPT-4o-2024-08-06,openai/gpt-4o-2024-08-06,1111,+11/-11,3407,OpenAI,Proprietary,2023/10,https://platform.openai.com/docs/models/gpt-4o,openai/gpt-4o-2024-08-06,openrouter,openai/gpt-4o-2024-08-06,"The 2024-08-06 version of GPT-4o offers improved performance in structured outputs, with the ability to supply a JSON schema in the respone_format. Read more [here](https://openai.com/index/introducing-structured-outputs-in-the-api/).

GPT-4o (""o"" for ""omni"") is OpenAI's latest AI model, supporting both text and image inputs with text outputs. It maintains the intelligence level of [GPT-4 Turbo](/models/openai/gpt-4-turbo) while being twice as fast and 50% more cost-effective. GPT-4o also offers improved performance in processing non-English languages and enhanced visual capabilities.

For benchmarking against other models, it was briefly called [""im-also-a-good-gpt2-chatbot""](https://twitter.com/LiamFedus/status/1790064963966370209)",2.5e-06,1e-05,0.003613,0.0036255
34,GPT-4.1-nano-2025-04-14,openai/gpt-4.1-nano,1110,+18/-18,1215,OpenAI,Proprietary,not specified,https://openai.com/index/gpt-4-1/,openai/gpt-4.1-nano,openrouter,openai/gpt-4.1-nano,"For tasks that demand low latency, GPT‑4.1 nano is the fastest and cheapest model in the GPT-4.1 series. It delivers exceptional performance at a small size with its 1 million token context window, and scores 80.1% on MMLU, 50.3% on GPQA, and 9.8% on Aider polyglot coding – even higher than GPT‑4o mini. It’s ideal for tasks like classification or autocompletion.",1e-07,4e-07,0.0,5e-07
35,Qwen-VL-Max-1119,qwen/qwen-vl-max,1106,+15/-15,1449,Alibaba,Proprietary,not specified,https://help.aliyun.com/zh/model-studio/user-guide/vision/?spm=a2c4g.11186623.0.0.33d259a8vPlZoe#f1cbd5b8a8k5w,qwen/qwen-vl-max,openrouter,qwen/qwen-vl-max,"Qwen VL Max is a visual understanding model with 7500 tokens context length. It excels in delivering optimal performance for a broader spectrum of complex tasks.
",8e-07,3.2e-06,0.001024,0.001028
36,Qwen2-VL-72b-Instruct,,1094,+9/-9,6028,Alibaba,Qwen,2024/9,https://qwenlm.github.io/zh/blog/qwen2-vl/,Qwen2-VL-72b-Instruct,free,,,,,,
37,Claude 3 Opus,anthropic/claude-3-opus,1069,+9/-9,15943,Anthropic,Proprietary,2023/8,https://www.anthropic.com/news/claude-3-family,anthropic/claude-3-opus,openrouter,anthropic/claude-3-opus,"Claude 3 Opus is Anthropic's most powerful model for highly complex tasks. It boasts top-level performance, intelligence, fluency, and understanding.

See the launch announcement and benchmark results [here](https://www.anthropic.com/news/claude-3-family)

#multimodal",1.5e-05,7.5e-05,0.024,0.02409
38,Molmo-72B-0924,,1059,+12/-12,3092,AI2,Apache 2.0,not specified,https://huggingface.co/allenai/Molmo-72B-0924,Molmo-72B-0924,free,,,,,,
39,Pixtral-12B-2409,,1056,+8/-8,7623,Mistral,Apache 2.0,2024/9,https://mistral.ai/news/pixtral-12b/,Pixtral-12B-2409,free,,,,,,
40,InternVL2-26B,,1052,+11/-11,5265,OpenGVLab,MIT,2024/7,https://internvl.github.io/blog/2024-07-02-InternVL-2.0/,InternVL2-26B,free,,,,,,
41,Llama-3.2-90B-Vision-Instruct,,1047,+7/-7,8829,Meta,Llama 3.2,2023/11,https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/,Llama-3.2-90B-Vision-Instruct,free,,,,,,
42,Aya-Vision-32B,,1041,+21/-21,849,Cohere,CC-BY-NC-4.0,not specified,https://huggingface.co/CohereForAI/aya-vision-32b,Aya-Vision-32B,free,,,,,,
43,Amazon Nova Lite 1.0,amazon/nova-lite-v1,1039,+14/-14,1877,Amazon,Proprietary,not specified,https://docs.aws.amazon.com/nova/latest/userguide/what-is-nova.html,amazon/nova-lite-v1,openrouter,amazon/nova-lite-v1,"Amazon Nova Lite 1.0 is a very low-cost multimodal model from Amazon that focused on fast processing of image, video, and text inputs to generate text output. Amazon Nova Lite can handle real-time customer interactions, document analysis, and visual question-answering tasks with high accuracy.

With an input context of 300K tokens, it can analyze multiple images or up to 30 minutes of video in a single input.",6e-08,2.4e-07,9e-05,9.03e-05
44,Qwen2-VL-7B-Instruct,,1037,+9/-9,5854,Aliaba,Apache 2.0,not specified,https://huggingface.co/Qwen/Qwen2-VL-7B-Instruct,Qwen2-VL-7B-Instruct,free,,,,,,
45,Amazon Nova Pro 1.0,amazon/nova-pro-v1,1029,+12/-12,2372,Amazon,Proprietary,not specified,https://docs.aws.amazon.com/nova/latest/userguide/what-is-nova.html,amazon/nova-pro-v1,openrouter,amazon/nova-pro-v1,"Amazon Nova Pro 1.0 is a capable multimodal model from Amazon focused on providing a combination of accuracy, speed, and cost for a wide range of tasks. As of December 2024, it achieves state-of-the-art performance on key benchmarks including visual question answering (TextVQA) and video understanding (VATEX).

Amazon Nova Pro demonstrates strong capabilities in processing both visual and textual information and at analyzing financial documents.

**NOTE**: Video input is not supported at this time.",8e-07,3.2e-06,0.0012,0.001204
46,Llama-3.2-11B-Vision-Instruct,,1014,+10/-10,4893,Meta,Llama 3.2,2023/11,https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/,Llama-3.2-11B-Vision-Instruct,free,,,,,,
47,Molmo-7B-D-0924,,1007,+12/-12,2854,AI2,Apache 2.0,not specified,https://huggingface.co/allenai/Molmo-7B-D-0924,Molmo-7B-D-0924,free,,,,,,
48,Claude 3 Haiku,anthropic/claude-3-haiku,1000,+11/-11,13725,Anthropic,Proprietary,2023/8,https://www.anthropic.com/news/claude-3-family,anthropic/claude-3-haiku,openrouter,anthropic/claude-3-haiku,"Claude 3 Haiku is Anthropic's fastest and most compact model for
near-instant responsiveness. Quick and accurate targeted performance.

See the launch announcement and benchmark results [here](https://www.anthropic.com/news/claude-3-haiku)

#multimodal",2.5e-07,1.25e-06,0.0004,0.0004015
49,InternVL2-4b,,990,+11/-11,3758,OpenGVLab,MIT,2024/7,https://internvl.github.io/blog/2024-07-02-InternVL-2.0/,InternVL2-4b,free,,,,,,
50,NVILA-15B,,989,+19/-19,1089,NVIDIA,-,not specified,https://huggingface.co/Efficient-Large-Model/NVILA-15B,NVILA-15B,free,,,,,,
51,LLaVA-v1.6-34B,,987,+11/-11,4685,LLaVA,Apache 2.0,2024/1,https://llava-vl.github.io/blog/2024-01-30-llava-next/,LLaVA-v1.6-34B,free,,,,,,
52,CogVLM2-llama3-chat-19b,,976,+14/-14,2026,Zhipu AI,CogVLM2,2024/7,https://huggingface.co/THUDM/cogvlm2-llama3-chat-19B,CogVLM2-llama3-chat-19b,free,,,,,,
53,LLaVA-OneVision-qwen2-72B-ov-sft,,971,+17/-17,1337,LLaVA,Apache 2.0,2024/8,https://huggingface.co/lmms-lab/llava-onevision-qwen2-72b-ov,LLaVA-OneVision-qwen2-72B-ov-sft,free,,,,,,
54,MiniCPM-v 2_6,,961,+15/-15,2041,OpenBMB,Apache 2.0,2024/7,https://huggingface.co/openbmb/MiniCPM-V-2_6,MiniCPM-v 2_6,free,,,,,,
55,Phi-3.5-vision-instruct,,900,+15/-15,2609,Microsoft,MIT,2024/8,https://huggingface.co/microsoft/Phi-3.5-vision-instruct,Phi-3.5-vision-instruct,free,,,,,,
56,Phi-3-Vision-128K-Instruct,,864,+17/-17,1436,Microsoft,MIT,2024/3,https://huggingface.co/microsoft/Phi-3-vision-128k-instruct,Phi-3-Vision-128K-Instruct,free,,,,,,
